,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
7107,146,tip,C,d,C->BC,C,B,0.13992461731617,0.17132178438383,916
7108,162,tip,C,d,C->AC,C,A,0.130362465870093,0.614242587729906,916
7109,169,tip,C,d,C->BC,C,B,0.244473842783943,0.255703279816057,916
7110,195,internal,A,d,A->AC,A,C,34.6398340874231,6.97129218257689,916
7111,202,internal,A,d,A->AB,A,B,0.159818513074073,2.58884475272593,916
7112,218,internal,B,d,B->BC,B,C,0.127194388139012,0.486343876660988,916
7113,252,internal,B,d,B->AB,B,A,0.329581933275079,0.511071479824921,916
7114,339,internal,C,d,C->BC,C,B,0.766192785178179,0.935885251221822,916
7115,7,tip,B,d,B->AB,B,A,0.350206397217839,0.0107099085821614,917
7116,162,tip,C,d,C->AC,C,A,0.238035751064292,0.506569302535708,917
7117,169,tip,B,d,B->BC,B,C,0.231163661826582,0.269013460773418,917
7118,252,internal,B,d,B->AB,B,A,0.0209209697744624,0.819732443325538,917
7119,343,internal,C,d,C->BC,C,B,0.755489035289141,0.946588992310859,917
7120,346,internal,C,d,C->BC,C,B,0.0214408700238527,0.730848674076147,917
7121,7,tip,B,d,B->AB,B,A,0.0904203858175452,0.270495919982455,918
7122,52,tip,B,d,B->AB,B,A,0.0732852739114065,0.305957939088593,918
7123,162,tip,C,d,C->AC,C,A,0.703528653117685,0.0410764004823148,918
7124,169,tip,C,d,C->BC,C,B,0.342903449590719,0.157273673009281,918
7125,245,internal,A,d,A->AB,A,B,0.449302233021328,1.56134845587867,918
7126,346,internal,C,d,C->BC,C,B,0.124968334631588,0.627321209468412,918
7127,7,tip,B,d,B->AB,B,A,0.0138292751216216,0.347087030678378,919
7128,146,tip,C,d,C->BC,C,B,0.283941777419333,0.0273046242806673,919
7129,162,tip,C,d,C->AC,C,A,0.165824599998843,0.578780453601157,919
7130,169,tip,C,d,C->BC,C,B,0.373838115620214,0.126339006979786,919
7131,195,internal,A,d,A->AC,A,C,11.7875459658421,29.8235803041579,919
7132,195,internal,AC,d,AC->ABC,A,B,28.6862484553422,12.9248778146578,919
7133,223,internal,A,d,A->AB,A,B,0.337251314401499,0.604709932398501,919
7134,252,internal,B,d,B->AB,B,A,0.182709131785276,0.657944281314724,919
7135,294,internal,A,d,A->AB,A,B,0.722626817118354,3.18359440988165,919
7136,351,internal,C,d,C->BC,C,B,0.320116031245042,0.967003767354958,919
7137,7,tip,B,d,B->AB,B,A,0.0559145458113107,0.305001759988689,920
7138,52,tip,B,d,B->AB,B,A,0.338624339676313,0.0406188733236869,920
7139,162,tip,C,d,C->AC,C,A,0.228944839669458,0.515660213930542,920
7140,169,tip,C,d,C->BC,C,B,0.3557574473474,0.1444196752526,920
7141,202,internal,B,d,B->AB,B,A,0.0804517258021441,2.66821153999786,920
7142,203,internal,A,d,A->AB,A,B,0.326710287540114,1.87871011335989,920
7143,227,internal,B,d,B->AB,B,A,0.21159418323411,0.86743248396589,920
7144,346,internal,C,d,C->BC,C,B,0.237300803012433,0.514988741087567,920
7145,7,tip,B,d,B->AB,B,A,0.0725931457684482,0.288323160031552,921
7146,162,tip,C,d,C->AC,C,A,0.370164216689072,0.374440836910928,921
7147,169,tip,C,d,C->BC,C,B,0.454059701939108,0.0461174206608925,921
7148,195,internal,A,d,A->AC,A,C,5.36361238248584,36.2475138875142,921
7149,229,internal,A,d,A->AB,A,B,0.0147825806250433,2.19063788217496,921
7150,347,internal,B,d,B->BC,B,C,0.148355388935218,0.359601855064782,921
7151,348,internal,C,d,C->BC,C,B,0.416853400161977,0.807945051738023,921
7152,7,tip,B,d,B->AB,B,A,0.111658511671663,0.249257794128337,922
7153,146,tip,C,d,C->BC,C,B,0.191938836145832,0.119307565554168,922
7154,162,tip,C,d,C->AC,C,A,0.0599383336944569,0.684666719905543,922
7155,169,tip,C,d,C->BC,C,B,0.0593070208780375,0.440870101721963,922
7156,252,internal,B,d,B->AB,B,A,0.298836120115032,0.541817292984968,922
7157,295,internal,AB,d,AB->ABC,B,C,0.752743543498409,0.862826452001591,922
7158,7,tip,B,d,B->AB,B,A,0.350585461842695,0.0103308439573051,923
7159,162,tip,C,d,C->AC,C,A,0.360860632907522,0.383744420692478,923
7160,169,tip,C,d,C->BC,C,B,0.0164665356391445,0.483710586960856,923
7161,203,internal,B,d,B->AB,B,A,0.563336965506876,1.64208343539312,923
7162,251,internal,B,d,B->AB,B,A,0.201968645018356,1.18827319848164,923
7163,294,internal,A,d,A->AB,A,B,1.37255036953757,2.53367085746243,923
7164,343,internal,C,d,C->BC,C,B,0.698090424541347,1.00398760305865,923
7165,346,internal,C,d,C->BC,C,B,0.0568632945901489,0.695426249509851,923
7166,7,tip,B,d,B->AB,B,A,0.230012894725351,0.130903411074649,924
7167,52,tip,A,d,A->AB,A,B,0.185728080319743,0.193515132680257,924
7168,162,tip,C,d,C->AC,C,A,0.475298749752984,0.269306303847016,924
7169,169,tip,B,d,B->BC,B,C,0.498170449137046,0.00200667346295436,924
7170,200,internal,A,d,A->AB,A,B,0.319986869901389,4.17684011049861,924
7171,203,internal,B,d,B->AB,B,A,0.536240081104626,1.66918031979537,924
7172,223,internal,B,d,B->AB,B,A,0.0312926563264531,0.910668590473547,924
7173,294,internal,AC,d,AC->ABC,A,B,1.92706059745776,1.97916062954224,924
7174,347,internal,C,d,C->BC,C,B,0.0394530840695521,0.468504159930448,924
7175,7,tip,B,d,B->AB,B,A,0.356239458346902,0.00467684745309821,925
7176,162,tip,C,d,C->AC,C,A,0.00614821610891681,0.738456837491083,925
7177,169,tip,C,d,C->BC,C,B,0.299059166158719,0.201117956441281,925
7178,195,internal,C,d,C->BC,C,B,20.3112302004793,21.2998960695207,925
7179,195,internal,BC,d,BC->ABC,C,A,31.4748214703205,10.1363047996795,925
7180,245,internal,A,d,A->AB,A,B,0.43248551305495,1.57816517584505,925
7181,255,internal,A,d,A->AB,A,B,0.743139923571276,2.00552337432872,925
7182,296,internal,B,d,B->AB,B,A,0.454859945614811,0.400335543585189,925
7183,345,internal,C,d,C->BC,C,B,0.180846705225632,1.04395179057437,925
7184,7,tip,B,d,B->AB,B,A,0.328703929844777,0.0322123759552232,926
7185,52,tip,A,d,A->AB,A,B,0.210741021388416,0.168502191611584,926
7186,146,tip,C,d,C->BC,C,B,0.146817655842511,0.164428745857489,926
7187,169,tip,C,d,C->BC,C,B,0.371622130791647,0.128554991808353,926
7188,195,internal,C,d,C->AC,C,A,18.5882387333038,23.0228875366962,926
7189,200,internal,A,d,A->AC,A,C,0.681226958113018,3.81560002228698,926
7190,358,internal,C,d,C->AC,C,A,0.15932125083706,0.76299061546294,926
7191,7,tip,B,d,B->AB,B,A,0.0454924861956625,0.315423819604338,927
7192,52,tip,B,d,B->AB,B,A,0.362124049163765,0.0171191638362349,927
7193,146,tip,C,d,C->BC,C,B,0.296680022906351,0.0145663787936489,927
7194,162,tip,A,d,A->AC,A,C,0.178802092465954,0.565802961134046,927
7195,169,tip,C,d,C->BC,C,B,0.409524018269415,0.0906531043305846,927
7196,195,internal,A,d,A->AB,A,B,15.6657589537949,25.9453673162051,927
7197,195,internal,AB,d,AB->ABC,B,C,23.2995912510474,18.3115350189526,927
7198,294,internal,C,d,C->BC,C,B,0.691571937038889,3.21464928996111,927
7199,7,tip,B,d,B->AB,B,A,0.150917373737226,0.209998932062774,928
7200,52,tip,B,d,B->AB,B,A,0.168390075481557,0.210853137518443,928
7201,162,tip,C,d,C->AC,C,A,0.221802452204214,0.522802601395785,928
7202,169,tip,C,d,C->BC,C,B,0.024392498100415,0.475784624499585,928
7203,251,internal,B,d,B->AB,B,A,0.0537003289830749,1.33654151451693,928
7204,276,internal,A,d,A->AB,A,B,0.449300712171793,4.18587431902821,928
7205,294,internal,AB,d,AB->ABC,A,C,0.621757189198667,3.28446403780133,928
7206,343,internal,C,d,C->BC,C,B,0.700796238651783,1.00128178894822,928
7207,344,internal,C,d,C->BC,C,B,0.180962036351516,1.65180875434848,928
7208,346,internal,B,d,B->BC,B,C,0.08500129770185,0.66728824639815,928
7209,351,internal,C,d,C->BC,C,B,0.280071457099995,1.00704834150001,928
7210,146,tip,C,d,C->BC,C,B,0.214319523761535,0.0969268779384645,929
7211,162,tip,C,d,C->AC,C,A,0.449122590994885,0.295482462605115,929
7212,169,tip,C,d,C->BC,C,B,0.21679237864378,0.28338474395622,929
7213,195,internal,A,d,A->AC,A,C,11.5989698324651,30.0121564375349,929
7214,195,internal,AC,d,AC->ABC,A,B,31.8523409000458,9.75878536995418,929
7215,213,internal,B,d,B->AB,B,A,0.0409433109558044,0.623912986344196,929
7216,245,internal,A,d,A->AB,A,B,0.115385281764819,1.89526540713518,929
7217,336,internal,C,d,C->AC,C,A,0.407836947785674,3.05722232221433,929
7218,351,internal,C,d,C->BC,C,B,0.250676440135935,1.03644335846406,929
7219,7,tip,B,d,B->AB,B,A,0.251057940126194,0.109858365673806,930
7220,52,tip,B,d,B->AB,B,A,0.375282311036519,0.00396090196348065,930
7221,146,tip,C,d,C->BC,C,B,0.0112893972540211,0.299957004445979,930
7222,162,tip,C,d,C->AC,C,A,0.185218345719979,0.559386707880021,930
7223,195,internal,AC,d,AC->ABC,A,B,20.6988044095422,20.9123218604578,930
7224,202,internal,A,d,A->AB,A,B,0.473066998293853,2.27559626750615,930
7225,295,internal,A,d,A->AC,A,C,0.136464014341785,1.47910598115822,930
7226,365,internal,C,d,C->BC,C,B,0.310208390738375,1.14363384976162,930
7227,7,tip,B,d,B->AB,B,A,0.243149838987556,0.117766466812444,931
7228,162,tip,A,d,A->AC,A,C,0.694955123173824,0.049649930426176,931
7229,195,internal,AB,d,AB->ABC,B,C,21.4263619781012,20.1847642918988,931
7230,252,internal,B,d,B->AB,B,A,0.440645590464531,0.400007822635469,931
