,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
87,340,internal,4,founder (j),C->C,B,C,B,0.5409251,341,142,4
88,342,internal,4,founder (j),C->B,C,C,B,0.1590774,139,140,4
89,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,4
90,346,internal,4,founder (j),C->C,B,C,B,0.5079573,347,148,4
91,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,4
92,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,4
93,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,4
94,200,internal,2,founder (j),A->A,C,A,C,3.576646,201,261,5
95,218,internal,3,founder (j),B->B,C,B,C,0.4777196,219,12,5
96,220,internal,3,founder (j),B->C,B,B,C,0.6232862,16,17,5
97,223,internal,3,founder (j),B->B,A,B,A,0.4909459,224,20,5
98,230,internal,3,founder (j),B->B,A,B,A,1.6770867,231,239,5
99,233,internal,3,founder (j),B->C,B,B,C,0.5509269,234,236,5
100,237,internal,3,founder (j),B->C,B,B,C,0.7430716,238,36,5
101,240,internal,2,founder (j),A->B,A,A,B,0.6166606,241,243,5
102,244,internal,2,founder (j),A->B,A,A,B,0.3460421,40,41,5
103,255,internal,2,founder (j),A->A,B,A,B,1.9759907,256,260,5
104,266,internal,4,founder (j),C->B,C,C,B,1.6837506,267,268,5
105,267,internal,3,founder (j),B->B,C,B,C,1.4937886,67,68,5
106,322,internal,2,founder (j),A->A,B,A,B,3.3665084,323,132,5
107,339,internal,4,founder (j),C->B,C,C,B,0.7340732,340,143,5
108,341,internal,3,founder (j),B->B,C,B,C,0.3265551,342,141,5
109,342,internal,3,founder (j),B->B,C,B,C,0.1590774,139,140,5
110,343,internal,4,founder (j),C->B,C,C,B,0.7205464,144,145,5
111,348,internal,4,founder (j),C->C,B,C,B,0.5832148,349,152,5
112,351,internal,4,founder (j),C->B,C,C,B,0.966689,352,155,5
113,353,internal,4,founder (j),C->A,C,C,A,0.5783452,156,157,5
114,199,internal,2,founder (j),A->C,A,A,C,4.496827,200,269,6
115,200,internal,4,founder (j),C->B,C,C,B,3.576646,201,261,6
