AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
226	1	0	0	0	0	1
227	1	0	1	1	1	2
228	4	0	0	1	0	1
229	1	1	0	0	1	1
230	1	0	0	0	1	1
231	3	0	0	1	0	0
232	2	0	0	1	0	0
233	2	1	0	1	0	1
234	2	0	0	1	0	2
235	4	0	0	2	0	0
236	3	0	0	1	0	1
237	3	0	0	2	0	2
238	3	0	0	1	0	0
239	1	0	0	1	1	0
240	1	0	0	0	1	0
241	3	0	0	1	1	0
242	2	0	0	1	0	2
243	1	1	0	0	0	1
244	1	0	0	2	1	0
245	2	0	0	0	2	1
246	2	0	0	1	1	1
247	1	0	0	1	1	0
248	1	1	0	0	0	1
249	2	0	0	1	0	0
250	1	0	0	0	0	0
251	2	0	0	1	0	0
252	2	0	0	1	0	0
253	2	0	0	0	0	1
254	2	0	1	1	2	0
255	1	0	0	2	0	0
256	3	0	0	1	0	2
257	1	0	0	1	0	2
258	2	0	0	1	0	1
259	1	0	0	1	0	0
260	1	0	0	1	0	0
261	1	0	0	1	0	2
262	2	0	0	0	0	2
263	2	0	0	1	0	2
264	3	0	0	1	0	1
265	1	0	0	0	1	1
266	1	0	0	0	1	1
267	2	0	0	1	0	0
268	2	0	0	0	0	0
269	2	0	0	1	0	0
270	1	0	0	1	0	0
271	3	0	0	1	1	0
272	4	0	0	1	0	0
273	1	0	0	0	1	0
274	2	0	0	1	0	2
275	4	0	0	1	0	0
276	1	0	0	1	0	0
277	1	0	0	1	1	0
278	2	0	0	0	0	0
279	4	0	0	1	0	1
280	1	0	0	0	1	0
281	0	0	1	0	1	1
282	1	0	0	1	0	1
283	3	0	0	1	1	0
284	2	0	0	0	1	1
285	1	0	0	0	0	1
286	2	1	0	1	0	0
287	2	0	0	1	0	0
288	3	0	0	1	0	1
289	3	0	0	1	0	0
290	0	1	0	0	0	1
291	1	0	0	0	0	2
292	2	0	0	2	1	1
293	1	0	0	1	0	1
294	2	0	0	1	0	0
295	1	0	0	1	0	0
296	1	0	0	1	0	1
297	1	0	0	0	2	0
298	1	0	0	1	0	1
299	1	0	0	1	0	1
300	3	0	0	2	0	0
301	2	0	0	1	1	0
302	1	0	0	1	0	0
303	3	0	0	1	0	1
304	1	0	0	1	1	1
305	1	0	0	1	1	0
306	2	0	0	1	0	0
307	1	0	0	0	1	1
308	0	0	0	0	0	0
309	1	0	1	0	2	1
310	2	0	0	1	0	1
311	2	0	0	1	0	0
312	1	0	0	1	0	1
313	1	0	0	1	0	0
314	4	0	0	1	0	1
315	3	1	0	1	0	0
316	1	1	0	0	1	2
317	3	0	0	2	0	0
318	1	0	0	1	0	1
319	0	0	0	0	0	2
320	1	0	0	1	1	0
321	2	0	0	0	0	0
322	0	0	0	0	0	1
323	2	0	0	1	0	1
324	2	0	0	1	0	0
325	1	0	0	1	0	0
326	0	0	2	0	1	0
327	2	0	0	1	0	1
328	2	0	0	1	1	1
329	2	0	0	1	0	0
330	1	0	0	1	0	0
331	1	0	0	0	2	0
332	1	0	0	1	0	0
333	1	0	0	1	0	0
334	2	1	0	1	0	1
335	1	1	0	0	0	2
336	3	0	0	1	0	1
337	1	0	0	0	1	1
338	1	1	0	1	0	0
339	2	0	0	0	0	2
340	0	0	0	0	1	1
341	3	0	0	1	1	1
342	3	0	0	1	0	0
343	1	0	0	1	0	0
