AB->A,B	ABC->A,BC	ABC->B,AC	ABC->C,AB	AC->A,C	BC->B,C
980	1	0	0	0	1	0
981	1	0	0	0	0	1
982	2	1	0	0	0	2
983	1	0	0	0	0	1
984	3	0	0	1	0	0
985	2	0	0	1	0	0
986	2	0	0	0	0	0
987	1	0	0	1	0	1
988	1	0	0	1	2	1
989	1	0	0	1	0	1
990	3	0	0	1	0	0
991	2	0	1	0	2	1
992	0	0	1	0	1	0
993	3	1	0	2	1	1
994	1	0	0	0	2	0
995	2	0	0	1	0	0
996	4	0	0	1	0	0
997	3	0	0	1	1	0
998	2	1	0	1	0	1
999	1	0	0	1	0	2
1000	2	0	0	0	1	2
