A->A,A	B->B,B	C->C,C
398	74	34	53
399	68	35	55
400	67	36	53
401	70	39	55
402	71	37	49
403	71	38	49
404	70	34	54
405	68	39	53
406	72	33	53
407	72	33	53
408	70	38	54
409	69	37	53
410	65	39	54
411	71	38	54
412	69	37	46
413	68	39	51
414	74	32	52
415	68	40	54
416	68	39	54
417	74	36	51
418	71	36	54
419	69	38	53
420	69	36	54
421	70	35	50
422	73	34	51
423	66	40	52
424	71	38	53
425	69	38	55
426	70	38	54
427	68	39	54
428	67	41	53
429	71	37	55
430	67	40	54
431	69	39	51
432	66	39	52
433	71	35	52
434	71	34	50
435	65	39	53
436	70	37	53
437	69	39	52
438	66	41	54
439	71	37	51
440	68	34	51
441	69	37	53
442	70	38	53
443	67	37	52
444	68	37	55
445	70	39	51
446	73	33	55
447	66	39	50
448	70	36	54
449	67	36	55
450	68	38	52
451	66	39	52
452	69	35	53
453	70	36	52
454	70	39	52
455	73	36	54
456	69	38	55
457	68	38	54
458	72	36	55
459	65	40	53
460	66	38	54
461	72	37	53
462	68	37	55
463	67	40	52
464	68	40	55
465	70	36	51
466	70	38	54
467	73	34	53
468	72	34	53
469	70	37	54
470	66	38	53
471	71	36	53
472	69	37	54
473	68	40	51
474	70	38	52
475	68	39	54
476	70	34	54
477	69	39	47
478	70	36	53
479	71	35	52
480	70	39	54
481	70	38	53
482	72	35	53
483	72	36	53
484	68	36	54
485	69	36	53
486	66	38	53
487	68	38	53
488	71	38	51
489	72	34	53
490	69	38	54
491	69	37	52
492	67	37	50
493	65	38	54
494	67	41	52
495	72	34	54
496	69	37	51
497	72	35	49
498	67	34	54
499	70	34	51
500	69	39	55
501	70	38	51
502	70	37	54
503	69	37	53
504	68	39	53
505	70	38	53
506	70	37	52
507	67	38	54
508	70	38	52
509	72	35	55
510	68	39	51
511	71	37	53
512	71	38	51
513	69	40	54
514	73	33	53
515	72	33	56
516	68	37	53
517	65	39	52
518	69	39	48
519	73	32	53
520	66	40	52
521	69	40	55
522	70	37	55
523	70	37	54
524	67	40	54
525	66	37	54
526	68	38	55
527	74	34	54
528	72	34	52
529	72	35	54
530	68	37	52
531	71	37	51
532	70	36	53
533	66	39	54
534	71	38	50
535	70	38	55
536	68	34	54
537	64	43	55
538	66	38	52
539	70	37	51
540	70	38	55
541	73	33	54
542	70	39	54
543	71	38	53
544	68	40	53
545	66	39	53
546	72	38	52
547	70	37	53
548	71	33	53
549	72	34	55
550	70	40	53
551	70	38	53
552	67	38	52
553	66	38	54
554	70	35	53
555	71	37	53
556	69	36	49
557	73	37	53
558	66	39	53
559	67	38	54
560	75	33	54
561	71	33	52
562	70	36	52
563	70	37	53
564	66	36	51
565	66	37	54
566	74	33	55
567	68	40	54
568	70	37	54
569	69	39	55
570	72	37	49
571	66	36	52
572	68	40	51
573	67	39	54
574	67	37	54
575	69	41	53
576	69	38	52
577	71	36	53
578	69	37	51
579	71	37	54
580	71	38	53
581	69	39	55
582	72	35	55
583	73	35	51
584	69	37	53
585	71	36	49
586	69	39	55
587	69	39	53
588	71	38	52
589	67	39	53
590	68	35	52
591	69	37	52
592	72	29	55
593	71	37	55
594	67	38	48
595	71	36	52
596	68	40	54
597	70	36	54
598	69	37	53
599	67	41	52
600	67	40	55
601	71	37	49
602	69	37	54
603	70	40	51
604	68	40	52
605	69	38	52
606	71	37	54
607	74	33	53
608	71	35	54
609	66	38	51
610	71	37	55
611	69	36	55
612	70	39	55
613	69	37	53
614	70	37	54
615	64	40	53
616	68	36	54
617	69	38	55
618	70	37	53
619	70	36	54
620	68	39	55
621	74	30	53
622	69	39	55
623	72	36	54
624	72	37	53
625	70	37	51
626	70	36	52
627	66	40	55
628	71	35	53
629	68	40	55
630	71	34	55
631	66	37	54
632	70	38	53
633	69	38	51
634	70	35	51
635	68	37	51
636	71	37	53
637	68	39	54
638	68	42	53
639	70	37	54
640	69	39	53
641	68	36	55
642	69	37	52
643	71	38	51
644	70	38	53
645	69	38	55
646	74	32	55
647	67	39	55
648	73	34	54
649	69	37	54
650	67	37	54
651	70	35	52
652	70	35	55
653	68	41	51
654	68	39	55
655	67	35	51
656	71	35	54
657	69	37	52
658	74	33	52
659	68	39	52
660	69	39	54
661	67	41	53
662	68	39	53
663	68	41	51
664	71	35	52
665	67	39	55
666	70	35	53
667	65	40	52
668	69	39	54
669	64	41	50
670	66	40	52
671	70	34	54
672	77	29	54
673	73	33	54
674	68	37	54
675	75	31	55
676	69	37	54
677	65	39	54
678	66	38	53
679	74	32	51
680	70	38	53
681	74	35	55
682	68	40	50
683	74	33	52
684	71	34	53
685	69	35	55
686	71	37	52
687	69	35	53
688	68	38	54
689	68	39	53
690	69	39	52
691	73	32	52
692	68	40	54
693	70	38	54
694	68	37	52
695	68	39	54
696	70	39	49
697	70	37	55
698	71	33	53
699	73	33	54
700	71	37	55
701	66	39	55
702	70	36	49
703	72	36	51
704	72	35	51
705	71	37	53
706	67	40	54
707	71	37	52
708	67	41	53
709	73	34	55
710	71	33	54
711	74	31	54
712	73	34	54
713	69	39	53
714	69	39	54
715	72	36	54
716	69	39	55
717	67	37	54
718	66	35	51
719	69	39	53
720	67	40	54
721	66	41	51
722	75	29	55
723	71	35	50
724	68	38	55
725	65	40	55
726	73	33	53
727	72	35	49
728	71	36	52
729	68	36	54
730	68	37	55
731	69	38	54
732	67	38	51
733	65	43	51
734	68	40	52
735	67	39	53
736	68	37	53
737	67	37	52
738	69	33	55
739	69	39	53
740	73	36	53
741	70	38	46
742	68	39	53
743	69	39	54
744	67	34	55
745	69	38	51
746	70	33	53
747	69	38	49
748	70	35	53
749	69	40	54
