AB->A,AB	AB->B,AB	ABC->A,ABC	ABC->B,ABC	ABC->C,ABC	AC->A,AC	AC->C,AC	BC->B,BC	BC->C,BC
157	1	1	0	0	0	0	1	1	2
158	3	1	0	0	0	0	0	2	2
159	0	0	2	1	1	0	0	1	1
160	2	1	0	0	0	0	0	0	0
161	0	0	0	0	0	0	0	0	1
162	4	1	0	0	0	1	0	1	1
163	1	1	0	0	0	0	0	1	1
164	2	0	2	0	1	1	0	1	2
165	1	0	0	0	0	0	0	1	1
166	3	4	0	0	0	1	0	0	0
167	2	1	0	0	0	1	0	1	0
168	1	2	0	0	0	1	0	0	2
169	1	0	0	0	0	0	0	2	3
170	0	0	0	0	0	0	0	0	0
171	2	1	0	0	0	0	0	0	0
172	3	2	1	0	0	0	0	1	4
173	0	0	0	0	0	0	0	1	1
174	4	2	0	0	0	1	0	1	3
175	1	4	0	0	0	0	0	0	1
176	1	1	0	0	0	0	1	0	1
177	2	1	0	0	0	0	0	0	0
178	3	3	0	0	0	0	0	0	1
179	1	0	0	0	0	0	1	1	2
180	2	1	0	0	0	0	0	0	0
181	0	2	0	0	1	2	0	0	0
182	1	3	0	0	0	0	1	0	1
183	2	1	0	0	0	0	0	0	0
184	1	1	0	0	0	0	0	0	0
185	1	0	0	0	0	0	0	1	1
186	3	3	1	0	0	0	0	1	1
187	2	3	0	0	0	0	0	0	1
188	3	1	0	0	0	0	0	1	2
189	1	2	0	0	0	0	0	1	2
190	1	0	0	0	0	0	0	0	3
191	0	0	1	0	0	0	0	1	1
192	1	0	0	0	0	0	0	1	2
193	1	1	0	0	0	0	0	0	0
194	1	3	0	0	0	0	0	0	2
195	1	1	1	0	0	0	0	1	4
196	2	1	0	0	0	0	0	0	1
197	1	2	0	0	0	0	0	0	0
198	1	0	0	0	0	0	0	2	4
199	2	0	0	0	0	0	0	1	2
200	0	0	0	0	0	1	0	2	1
201	1	0	0	0	0	0	0	0	0
202	3	3	0	0	0	0	1	0	0
203	1	1	0	0	0	0	0	0	0
204	1	0	0	0	0	0	0	0	0
205	2	0	0	0	0	0	1	0	0
206	2	1	1	0	0	0	3	0	1
207	1	1	0	0	0	0	0	1	0
208	1	1	0	0	0	0	0	0	0
209	1	0	0	0	0	1	0	2	2
210	0	0	0	0	1	2	0	1	1
211	0	0	0	0	0	0	0	0	1
