,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
826,9,tip,B,d,B->AB,B,A,0.24785696194251,0.25682355125749,534
827,41,internal,B,d,B->AB,B,A,0.20639887703575,1.20211605096425,534
828,9,tip,B,d,B->AB,B,A,0.230359494342436,0.274321018857564,535
829,41,internal,B,d,B->AB,B,A,0.123279352477483,1.28523557552252,535
830,9,tip,B,d,B->AB,B,A,0.270757152824955,0.233923360375045,536
831,9,tip,A,d,A->AB,A,B,0.475962361737195,0.0287181514628054,537
832,9,tip,B,d,B->AB,B,A,0.0992025837475795,0.40547792945242,538
833,36,internal,B,d,B->AB,B,A,0.352504690555246,2.97829640944475,538
834,41,internal,A,d,A->AB,A,B,0.200444934178474,1.20806999382153,538
835,9,tip,B,d,B->AB,B,A,0.446899610021538,0.0577809031784615,539
836,9,tip,B,d,B->AB,B,A,0.503617755598827,0.00106275760117336,540
837,9,tip,B,d,B->AB,B,A,0.0656213378947167,0.439059175305283,541
838,41,internal,B,d,B->AB,B,A,0.911890658375277,0.496624269624723,541
839,9,tip,B,d,B->AB,B,A,0.465176981200325,0.0395035319996754,542
840,9,tip,B,d,B->AB,B,A,0.220203551803149,0.284476961396851,543
841,41,internal,B,d,B->AB,B,A,0.421021154717495,0.987493773282505,543
842,9,tip,B,d,B->AB,B,A,0.414686117909352,0.0899943952906483,544
843,41,internal,A,d,A->AB,A,B,0.107550243665491,1.30096468433451,544
844,9,tip,B,d,B->AB,B,A,0.0611390064265342,0.443541506773466,545
845,24,internal,C,d,C->BC,C,B,1.43188774244025,1.89891334555975,545
846,9,tip,B,d,B->AB,B,A,0.183406570291888,0.321273942908112,546
847,9,tip,B,d,B->AB,B,A,0.0892596978219165,0.415420815378084,547
848,24,internal,B,d,B->BC,B,C,0.20696075811673,3.12384032988327,547
849,9,tip,B,d,B->AB,B,A,0.437204098614024,0.0674764145859764,548
850,23,internal,B,d,B->AB,B,A,0.34249219989477,6.95019072210523,548
851,9,tip,B,d,B->AB,B,A,0.349285417189803,0.155395096010197,549
852,9,tip,B,d,B->AB,B,A,0.2385833765323,0.2660971366677,550
853,9,tip,B,d,B->AB,B,A,0.268498555200189,0.236181957999811,551
854,9,tip,B,d,B->AB,B,A,0.408590254852224,0.0960902583477758,552
855,9,tip,B,d,B->AB,B,A,0.133889606711958,0.370790906488042,553
856,23,internal,A,d,A->AB,A,B,1.49373798669156,5.79894493530844,553
857,41,internal,A,d,A->AB,A,B,0.0391123956721266,1.36940253232787,553
858,9,tip,B,d,B->AB,B,A,0.316323029000313,0.188357484199687,554
859,9,tip,B,d,B->AB,B,A,0.42833346561242,0.0763470475875802,555
860,41,internal,B,d,B->AB,B,A,0.319070089967978,1.08944483803202,555
861,9,tip,B,d,B->AB,B,A,0.468716302947712,0.0359642102522877,556
862,9,tip,B,d,B->AB,B,A,0.231834281816021,0.272846231383979,557
863,9,tip,B,d,B->AB,B,A,0.141393665618803,0.363286847581197,558
864,9,tip,B,d,B->AB,B,A,0.314684918151736,0.189995595048264,559
865,23,internal,A,d,A->AB,A,B,0.618758508326191,6.67392441367381,559
866,9,tip,A,d,A->AB,A,B,0.451994595404815,0.0526859177951847,560
867,9,tip,B,d,B->AB,B,A,0.319314448790169,0.185366064409831,561
868,9,tip,B,d,B->AB,B,A,0.344759971162527,0.159920542037473,562
869,9,tip,B,d,B->AB,B,A,0.300022345172692,0.204658168027308,563
870,36,internal,A,d,A->AB,A,B,1.31246274590074,2.01833835409926,563
871,41,internal,B,d,B->AB,B,A,0.549357937895795,0.859156990104205,563
872,9,tip,B,d,B->AB,B,A,0.416740013847909,0.0879404993520911,564
873,41,internal,B,d,B->AB,B,A,0.823028008451598,0.585486919548402,564
874,9,tip,A,d,A->AB,A,B,0.205587265969566,0.299093247230434,565
875,9,tip,B,d,B->AB,B,A,0.145830510993926,0.358850002206074,566
876,9,tip,B,d,B->AB,B,A,0.0165496749649155,0.488130838235084,567
877,23,internal,A,d,A->AB,A,B,2.65220678710301,4.64047613489699,567
878,9,tip,B,d,B->AB,B,A,0.220439482510139,0.284241030689861,568
879,41,internal,B,d,B->AB,B,A,0.813231250083528,0.595283677916472,568
880,9,tip,B,d,B->AB,B,A,0.18235595456675,0.32232455863325,569
881,9,tip,B,d,B->AB,B,A,0.155786614567522,0.348893898632478,570
882,9,tip,B,d,B->AB,B,A,0.296021209368985,0.208659303831015,571
883,41,internal,B,d,B->AB,B,A,1.00117680697304,0.407338121026958,571
884,9,tip,B,d,B->AB,B,A,0.0152451677790815,0.489435345420918,572
885,9,tip,B,d,B->AB,B,A,0.323805157660133,0.180875355539867,573
886,41,internal,B,d,B->AB,B,A,0.270102302853493,1.13841262514651,573
887,9,tip,B,d,B->AB,B,A,0.0298715026871773,0.474809010512823,574
888,41,internal,B,d,B->AB,B,A,0.22953364865453,1.17898127934547,574
889,9,tip,B,d,B->AB,B,A,0.377976198228653,0.126704314971347,575
890,41,internal,B,d,B->AB,B,A,0.020654182551638,1.38786074544836,575
891,9,tip,B,d,B->AB,B,A,0.425883888272021,0.0787966249279788,576
892,23,internal,A,d,A->AB,A,B,3.05255035361759,4.24013256838241,576
893,9,tip,B,d,B->AB,B,A,0.278743614337695,0.225936898862305,577
894,41,internal,B,d,B->AB,B,A,0.577427562728616,0.831087365271384,577
895,9,tip,B,d,B->AB,B,A,0.0559435426786605,0.448736970521339,578
896,37,internal,B,d,B->AB,B,A,0.00986362850044617,1.39865129469955,578
897,9,tip,B,d,B->AB,B,A,0.0151970677108628,0.489483445489137,579
898,9,tip,B,d,B->AB,B,A,0.503375623607421,0.00130488959257868,580
899,9,tip,B,d,B->AB,B,A,0.0488000020262367,0.455880511173763,581
900,9,tip,B,d,B->AB,B,A,0.0718413150984871,0.432839198101513,582
901,23,internal,A,d,A->AC,A,C,3.09975062889292,4.19293229310708,582
902,9,tip,B,d,B->AB,B,A,0.228134184638384,0.276546328561616,583
903,24,internal,B,d,B->BC,B,C,0.738300892087207,2.59250019591279,583
904,41,internal,B,d,B->AB,B,A,0.411076523599752,0.997438404400248,583
905,9,tip,B,d,B->AB,B,A,0.0152524658388107,0.489428047361189,584
906,25,internal,B,d,B->BC,B,C,0.0209939924711321,1.66579810446887,584
907,9,tip,B,d,B->AB,B,A,0.329955112180564,0.174725401019436,585
908,9,tip,B,d,B->AB,B,A,0.299055414570903,0.205625098629097,586
909,41,internal,B,d,B->AB,B,A,0.46518133510239,0.94333359289761,586
910,9,tip,B,d,B->AB,B,A,0.0124408772953218,0.492239635904678,587
911,9,tip,B,d,B->AB,B,A,0.276787642450182,0.227892870749818,588
912,25,internal,B,d,B->BC,B,C,0.0527654591565113,1.63402663778349,588
913,37,internal,B,d,B->AB,B,A,0.13404814090018,1.27446678229982,588
914,41,internal,B,d,B->AB,B,A,0.021519870134995,1.386995057865,588
915,9,tip,B,d,B->AB,B,A,0.380525047265926,0.124155465934074,589
916,9,tip,B,d,B->AB,B,A,0.191973980498308,0.312706532701692,590
917,41,internal,B,d,B->AB,B,A,0.650025072282061,0.758489855717939,590
918,9,tip,B,d,B->AB,B,A,0.306207591354338,0.198472921845662,591
919,9,tip,B,d,B->AB,B,A,0.0862157865274895,0.418464726672511,592
920,9,tip,B,d,B->AB,B,A,0.460342714639369,0.0443377985606309,593
921,9,tip,B,d,B->AB,B,A,0.356187606015354,0.148492907184646,594
922,23,internal,A,d,A->AB,A,B,0.720122749797753,6.57256017220225,594
923,9,tip,B,d,B->AB,B,A,0.0520241746131148,0.452656338586885,595
924,9,tip,B,d,B->AB,B,A,0.375304171978184,0.129376341221816,596
925,9,tip,B,d,B->AB,B,A,0.0465848071604087,0.458095706039591,597
926,23,internal,B,d,B->BC,B,C,1.61844353661185,5.67423938538815,597
927,23,internal,BC,d,BC->ABC,B,A,3.92216071665656,3.37052220534344,597
928,9,tip,B,d,B->AB,B,A,0.325772818848122,0.178907694351878,598
929,9,tip,B,d,B->AB,B,A,0.192307063114893,0.312373450085107,599
930,9,tip,B,d,B->AB,B,A,0.211983023802455,0.292697489397545,600
931,25,internal,B,d,B->BC,B,C,0.00220490371780718,1.68458719322219,600
932,9,tip,B,d,B->AB,B,A,0.25530932834971,0.24937118485029,601
933,9,tip,B,d,B->AB,B,A,0.113527422514753,0.391153090685247,602
934,36,internal,A,d,A->AB,A,B,1.6292901511019,1.7015109488981,602
935,9,tip,B,d,B->AB,B,A,0.130561863956847,0.374118649243153,603
936,36,internal,B,d,B->AB,B,A,1.07738188319126,2.25341921680874,603
937,41,internal,A,d,A->AB,A,B,0.577392000374671,0.831122927625329,603
938,9,tip,B,d,B->AB,B,A,0.463508161507833,0.0411723516921668,604
939,9,tip,B,d,B->AB,B,A,0.327991484131903,0.176689029068097,605
940,9,tip,B,d,B->AB,B,A,0.396643267428466,0.108037245771534,606
941,41,internal,B,d,B->AB,B,A,0.810947865313284,0.597567062686716,606
942,9,tip,B,d,B->AB,B,A,0.243044467567071,0.261636045632929,607
943,9,tip,B,d,B->AB,B,A,0.00864573550799754,0.496034777692002,608
944,25,internal,B,d,B->BC,B,C,0.0578842808614416,1.62890781607856,608
945,9,tip,B,d,B->AB,B,A,0.41494994125595,0.0897305719440501,609
946,9,tip,B,d,B->AB,B,A,0.422618469123495,0.0820620440765049,610
947,36,internal,B,d,B->AB,B,A,0.918311133047814,2.41248996695219,610
948,9,tip,B,d,B->AB,B,A,0.175795481589662,0.328885031610338,611
