,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
88,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,26
89,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,26
90,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,27
91,36,internal,3,founder (j),B->A,B,B,A,1.4085149,37,41,27
92,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,27
93,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,28
94,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,28
95,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,28
96,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,29
97,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,29
98,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,29
99,22,root,2,founder (j),A->B,A,A,B,7.2926829,23,21,30
100,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,30
101,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,30
102,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,31
103,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,31
104,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,31
105,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,32
106,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,32
107,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,32
108,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,33
109,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,33
110,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,33
111,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,34
112,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,34
113,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,34
114,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,35
115,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,35
116,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,35
117,24,internal,3,founder (j),B->C,B,B,C,1.6867921,25,13,36
118,25,internal,4,founder (j),C->C,A,C,A,1.5904059,26,33,36
119,33,internal,2,founder (j),A->A,B,A,B,0.6773995,34,35,36
120,34,internal,2,founder (j),A->A,B,A,B,0.5046805,9,10,36
121,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,36
122,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,36
123,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,37
124,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,37
125,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,37
126,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,38
127,34,internal,3,founder (j),B->A,B,B,A,0.5046805,9,10,38
128,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,38
129,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,39
130,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,39
131,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,39
132,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,40
133,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,40
134,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,40
135,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,41
136,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,41
137,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,41
138,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,42
139,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,42
140,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,42
141,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,43
142,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,43
143,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,43
144,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,43
145,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,44
146,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,44
147,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,44
148,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,45
149,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,45
150,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,45
151,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,46
152,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,46
153,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,46
154,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,47
155,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,47
156,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,47
157,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,47
158,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,48
159,36,internal,3,founder (j),B->A,B,B,A,1.4085149,37,41,48
160,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,48
161,22,root,2,founder (j),A->B,A,A,B,7.2926829,23,21,49
162,24,internal,3,founder (j),B->C,B,B,C,1.6867921,25,13,49
163,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,49
164,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,49
165,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,49
166,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,50
167,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,50
168,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,50
169,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,51
170,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,51
171,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,51
172,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,52
173,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,52
174,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,52
175,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,53
176,36,internal,3,founder (j),B->B,A,B,A,1.4085149,37,41,53
177,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,53
178,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,53
179,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,54
180,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,54
181,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,54
182,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,55
183,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,55
184,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,55
185,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,55
186,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,56
187,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,56
188,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,56
189,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,57
190,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,57
191,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,57
192,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,57
193,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,58
194,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,58
195,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,58
196,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,59
197,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,59
198,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,60
199,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,60
200,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,60
201,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,61
202,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,61
203,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,62
204,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,62
205,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,62
206,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,63
207,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,63
208,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,64
209,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,64
210,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,64
211,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,65
212,36,internal,3,founder (j),B->B,A,B,A,1.4085149,37,41,65
213,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,65
214,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,66
215,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,66
216,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,66
217,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,66
218,24,internal,4,founder (j),C->C,B,C,B,1.6867921,25,13,67
219,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,67
220,36,internal,3,founder (j),B->A,B,B,A,1.4085149,37,41,67
221,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,67
222,23,internal,2,founder (j),A->B,A,A,B,3.3308011,24,36,68
223,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,68
224,24,internal,3,founder (j),B->C,B,B,C,1.6867921,25,13,69
225,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,69
226,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,69
227,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,69
228,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,70
229,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,70
230,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,70
231,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,71
232,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,71
233,34,internal,3,founder (j),B->A,B,B,A,0.5046805,9,10,71
234,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,71
235,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,71
236,24,internal,4,founder (j),C->C,B,C,B,1.6867921,25,13,72
237,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,72
238,34,internal,3,founder (j),B->A,B,B,A,0.5046805,9,10,72
239,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,72
240,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,72
241,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,73
242,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,73
243,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,73
244,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,74
245,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,74
246,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,74
247,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,75
248,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,75
249,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,75
250,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,76
251,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,76
252,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,76
253,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,77
254,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,77
255,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,77
256,23,internal,2,founder (j),A->B,A,A,B,3.3308011,24,36,78
257,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,78
258,36,internal,2,founder (j),A->A,B,A,B,1.4085149,37,41,78
259,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,78
260,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,78
261,24,internal,3,founder (j),B->C,B,B,C,1.6867921,25,13,79
262,25,internal,4,founder (j),C->C,B,C,B,1.5904059,26,33,79
263,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,79
264,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,79
265,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,80
266,36,internal,3,founder (j),B->B,A,B,A,1.4085149,37,41,80
267,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,80
268,22,root,2,founder (j),A->B,A,A,B,7.2926829,23,21,81
269,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,81
270,34,internal,3,founder (j),B->A,B,B,A,0.5046805,9,10,81
271,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,81
272,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,81
273,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,82
274,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,82
275,22,root,3,founder (j),B->B,A,B,A,7.2926829,23,21,83
276,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,83
277,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,83
278,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,84
279,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,84
280,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,84
281,23,internal,3,founder (j),B->B,A,B,A,3.3308011,24,36,85
282,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,85
283,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,85
284,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,85
285,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,86
286,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,86
287,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,86
288,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,87
289,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,87
290,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,87
291,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,88
292,22,root,2,founder (j),A->B,A,A,B,7.2926829,23,21,89
293,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,89
294,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,89
295,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,89
296,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,90
297,37,internal,3,founder (j),B->A,B,B,A,1.2195943,38,40,90
298,41,internal,3,founder (j),B->A,B,B,A,0.37615,19,20,90
299,23,internal,2,founder (j),A->B,A,A,B,3.3308011,24,36,91
300,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,91
301,37,internal,2,founder (j),A->A,B,A,B,1.2195943,38,40,91
302,41,internal,2,founder (j),A->A,B,A,B,0.37615,19,20,91
303,25,internal,3,founder (j),B->C,B,B,C,1.5904059,26,33,92
