,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
88,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,13
89,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,13
90,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,13
91,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,13
92,24,internal,2,founder (j),A->A,B,A,B,5.1293042,25,32,14
93,27,internal,2,founder (j),A->C,A,A,C,3.0362588,28,3,14
94,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,14
95,32,internal,3,founder (j),B->C,B,B,C,1.8728553,33,36,14
96,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,14
97,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,14
98,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,14
99,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,14
100,22,root,4,founder (j),C->C,A,C,A,8.268425,23,40,15
101,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,15
102,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,15
103,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,15
104,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,15
105,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,15
106,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,15
107,23,internal,2,founder (j),A->A,C,A,C,6.9527128,24,37,16
108,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,16
109,26,internal,2,founder (j),A->C,A,A,C,3.17588,27,29,16
110,27,internal,4,founder (j),C->C,A,C,A,3.0362588,28,3,16
111,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,16
112,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,16
113,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,16
114,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,16
115,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,16
116,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,17
117,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,17
118,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,17
119,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,17
120,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,17
121,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,17
122,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,18
123,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,18
124,32,internal,4,founder (j),C->C,B,C,B,1.8728553,33,36,18
125,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,18
126,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,18
127,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,18
128,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,18
129,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,19
130,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,19
131,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,19
132,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,19
133,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,19
134,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,19
135,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,20
136,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,20
137,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,20
138,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,20
139,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,20
140,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,20
141,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,20
142,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,21
143,27,internal,2,founder (j),A->C,A,A,C,3.0362588,28,3,21
144,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,21
145,32,internal,4,founder (j),C->C,B,C,B,1.8728553,33,36,21
146,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,21
147,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,21
148,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,21
149,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,21
150,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,22
151,32,internal,2,founder (j),A->A,C,A,C,1.8728553,33,36,22
152,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,22
153,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,22
154,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,22
155,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,22
156,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,23
157,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,23
158,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,23
159,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,23
160,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,23
161,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,23
162,23,internal,2,founder (j),A->A,C,A,C,6.9527128,24,37,24
163,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,24
164,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,24
165,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,24
166,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,24
167,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,24
168,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,24
169,23,internal,3,founder (j),B->A,B,B,A,6.9527128,24,37,25
170,24,internal,2,founder (j),A->A,C,A,C,5.1293042,25,32,25
171,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,25
172,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,25
173,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,25
174,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,25
175,24,internal,3,founder (j),B->A,B,B,A,5.1293042,25,32,26
176,27,internal,2,founder (j),A->C,A,A,C,3.0362588,28,3,26
177,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,26
178,32,internal,3,founder (j),B->C,B,B,C,1.8728553,33,36,26
179,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,26
180,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,26
181,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,26
182,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,26
183,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,27
184,27,internal,2,founder (j),A->C,A,A,C,3.0362588,28,3,27
185,28,internal,4,founder (j),C->C,A,C,A,3.0306531,1,2,27
186,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,27
187,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,27
188,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,27
189,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,27
190,23,internal,4,founder (j),C->A,C,C,A,6.9527128,24,37,28
191,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,28
192,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,28
193,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,28
194,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,28
195,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,28
196,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,29
197,32,internal,4,founder (j),C->A,C,C,A,1.8728553,33,36,29
198,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,29
199,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,29
200,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,29
201,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,29
202,22,root,2,founder (j),A->C,A,A,C,8.268425,23,40,30
203,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,30
204,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,30
205,32,internal,4,founder (j),C->A,C,C,A,1.8728553,33,36,30
206,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,30
207,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,30
208,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,30
209,40,internal,2,founder (j),A->A,C,A,C,3.2862197,41,21,30
210,23,internal,4,founder (j),C->A,C,C,A,6.9527128,24,37,31
211,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,31
212,32,internal,2,founder (j),A->A,B,A,B,1.8728553,33,36,31
213,33,internal,2,founder (j),A->C,A,A,C,1.6223356,34,35,31
214,36,internal,3,founder (j),B->C,B,B,C,1.7517825,13,14,31
215,37,internal,4,founder (j),C->C,B,C,B,5.358032,38,18,31
216,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,32
217,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,32
218,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,32
219,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,32
220,40,internal,4,founder (j),C->A,C,C,A,3.2862197,41,21,32
221,23,internal,3,founder (j),B->C,B,B,C,6.9527128,24,37,33
222,24,internal,4,founder (j),C->A,C,C,A,5.1293042,25,32,33
223,28,internal,2,founder (j),A->C,A,A,C,3.0306531,1,2,33
224,33,internal,4,founder (j),C->C,A,C,A,1.6223356,34,35,33
225,36,internal,4,founder (j),C->C,B,C,B,1.7517825,13,14,33
226,37,internal,3,founder (j),B->C,B,B,C,5.358032,38,18,33
