,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
88,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,23
89,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,23
90,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,24
91,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,24
92,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,24
93,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,24
94,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,25
95,30,internal,2,founder (j),A->A,B,A,B,8.029489,31,37,25
96,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,25
97,37,internal,3,founder (j),B->A,B,B,A,5.75728,38,12,25
98,28,internal,2,founder (j),A->A,C,A,C,9.8902159,29,18,26
99,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,26
100,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,26
101,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,27
102,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,27
103,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,27
104,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,27
105,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,28
106,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,28
107,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,28
108,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,28
109,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,29
110,36,internal,2,founder (j),A->A,B,A,B,3.2364302,6,7,29
111,37,internal,2,founder (j),A->A,B,A,B,5.75728,38,12,29
112,45,internal,4,founder (j),C->C,B,C,B,13.5103594,46,48,29
113,28,internal,4,founder (j),C->A,C,C,A,9.8902159,29,18,30
