,node,node.type,current_rangetxt,event_type,event_txt,ana_dispersal_from,dispersal_to,event_time,abs_event_time,nmap
1878,7,tip,B,d,B->AB,B,A,0.864165308967645,1.21876177803236,994
1879,20,internal,A,d,A->AB,A,B,3.1515422992561,5.1960308757439,994
1880,5,tip,B,d,B->AB,B,A,5.60839487669837,1.91041751130163,995
1881,22,internal,A,d,A->AB,A,B,0.544084765565577,3.19518889443442,995
1882,22,internal,A,d,A->AB,A,B,0.690801038557949,3.04847262144205,996
1883,5,tip,B,d,B->AB,B,A,4.72859626438785,2.79021612361215,997
1884,7,tip,B,d,B->AB,B,A,1.44871354144367,0.634213545556332,997
1885,21,internal,A,d,A->AB,A,B,0.461178249157887,4.03509254704211,997
1886,5,tip,A,d,A->AB,A,B,6.19441298197457,1.32439940602543,998
1887,22,internal,A,d,A->AB,A,B,0.180676775137851,3.55859688486215,998
1888,21,internal,A,d,A->AB,A,B,0.635929845532075,3.86034095066793,999
1889,22,internal,A,d,A->AB,A,B,1.05911748125357,2.68015617874643,1000
