,node,node.type,sampled_states_AT_nodes,clado_event_type,clado_event_txt,clado_dispersal_from,clado_dispersal_to,time_bp,left_desc_nodes,right_desc_nodes,nmap
88,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,14
89,41,internal,3,founder (j),B->B,A,B,A,1.5168997,14,15,14
90,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,14
91,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,14
92,28,internal,2,founder (j),A->A,B,A,B,4.4213959,29,41,15
93,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,15
94,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,15
95,41,internal,3,founder (j),B->B,A,B,A,1.5168997,14,15,15
96,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,15
97,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,15
98,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,15
99,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,16
100,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,16
101,30,internal,4,founder (j),C->B,C,C,B,2.3415135,31,8,16
102,31,internal,3,founder (j),B->B,C,B,C,1.9945232,32,36,16
103,32,internal,3,founder (j),B->C,B,B,C,1.6998665,33,35,16
104,35,internal,3,founder (j),B->C,B,B,C,1.2612921,4,5,16
105,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,16
106,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,16
107,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,16
108,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,17
109,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,17
110,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,17
111,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,17
112,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,17
113,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,17
114,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,18
115,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,18
116,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,18
117,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,18
118,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,18
119,45,internal,3,founder (j),B->A,B,B,A,1.6084318,46,18,18
120,46,internal,2,founder (j),A->A,B,A,B,0.859385,16,17,18
121,28,internal,2,founder (j),A->C,A,A,C,4.4213959,29,41,19
122,29,internal,4,founder (j),C->C,A,C,A,3.362699,30,37,19
123,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,19
124,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,19
125,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,19
126,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,19
127,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,20
128,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,20
129,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,20
130,43,internal,3,founder (j),B->A,B,B,A,2.7443037,44,20,20
131,44,internal,2,founder (j),A->A,B,A,B,2.0964128,45,19,20
132,45,internal,2,founder (j),A->A,B,A,B,1.6084318,46,18,20
133,46,internal,2,founder (j),A->A,B,A,B,0.859385,16,17,20
134,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,20
135,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,21
136,31,internal,4,founder (j),C->B,C,C,B,1.9945232,32,36,21
137,32,internal,3,founder (j),B->C,B,B,C,1.6998665,33,35,21
138,35,internal,3,founder (j),B->C,B,B,C,1.2612921,4,5,21
139,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,21
140,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,21
141,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,21
142,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,21
143,25,root,3,founder (j),B->A,B,B,A,6.7383456,26,47,22
144,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,22
145,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,22
146,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,22
147,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,22
148,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,22
149,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,22
150,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,23
151,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,23
152,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,23
153,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,23
154,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,23
155,47,internal,2,founder (j),A->B,A,A,B,3.5694601,23,24,23
156,27,internal,2,founder (j),A->A,B,A,B,5.6994331,28,42,24
157,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,24
158,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,24
159,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,24
160,42,internal,3,founder (j),B->B,A,B,A,4.1799539,43,21,24
161,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,24
162,27,internal,2,founder (j),A->A,B,A,B,5.6994331,28,42,25
163,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,25
164,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,25
165,41,internal,2,founder (j),A->B,A,A,B,1.5168997,14,15,25
166,42,internal,3,founder (j),B->B,A,B,A,4.1799539,43,21,25
167,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,25
168,25,root,3,founder (j),B->A,B,B,A,6.7383456,26,47,26
169,28,internal,2,founder (j),A->A,B,A,B,4.4213959,29,41,26
170,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,26
171,32,internal,4,founder (j),C->C,B,C,B,1.6998665,33,35,26
172,35,internal,3,founder (j),B->C,B,B,C,1.2612921,4,5,26
173,41,internal,3,founder (j),B->B,A,B,A,1.5168997,14,15,26
174,42,internal,2,founder (j),A->B,A,A,B,4.1799539,43,21,26
175,46,internal,3,founder (j),B->A,B,B,A,0.859385,16,17,26
176,47,internal,3,founder (j),B->B,A,B,A,3.5694601,23,24,26
177,29,internal,2,founder (j),A->C,A,A,C,3.362699,30,37,27
178,35,internal,4,founder (j),C->C,B,C,B,1.2612921,4,5,27
